,subst,c,date,power,it,run
97,Pentan,48.3,05.01.2022,24.0,10.0,8
282,Pentan,52.3,05.01.2022,34.0,5.0,3
105,Pentan,49.7,05.01.2022,24.0,5.0,6
165,Pentan,20.0,17.12.2021,34.0,5.0,6
155,Pentan,100.8,05.01.2022,24.0,10.0,6
138,Pentan,52.3,05.01.2022,24.0,10.0,9
182,Pentan,49.5,17.12.2021,34.0,5.0,3
232,Pentan,19.8,05.01.2022,34.0,10.0,3
241,Pentan,48.3,05.01.2022,34.0,5.0,2
286,Pentan,52.3,05.01.2022,34.0,5.0,7
190,Pentan,49.5,17.12.2021,34.0,10.0,1
75,Pentan,19.8,05.01.2022,24.0,10.0,6
4,Pentan,20.0,17.12.2021,24.0,5.0,5
145,Pentan,100.8,05.01.2022,24.0,5.0,6
273,Pentan,49.7,05.01.2022,34.0,10.0,4
126,Pentan,52.3,05.01.2022,24.0,5.0,7
186,Pentan,49.5,17.12.2021,34.0,5.0,7
305,Pentan,100.8,05.01.2022,34.0,5.0,6
219,Pentan,101.5,17.12.2021,34.0,10.0,10
