,subst,c,date,power,it,run
150,Pentan,100.8,05.01.2022,24.0,10.0,1
151,Pentan,100.8,05.01.2022,24.0,10.0,2
152,Pentan,100.8,05.01.2022,24.0,10.0,3
153,Pentan,100.8,05.01.2022,24.0,10.0,4
154,Pentan,100.8,05.01.2022,24.0,10.0,5
155,Pentan,100.8,05.01.2022,24.0,10.0,6
156,Pentan,100.8,05.01.2022,24.0,10.0,7
157,Pentan,100.8,05.01.2022,24.0,10.0,8
158,Pentan,100.8,05.01.2022,24.0,10.0,9
159,Pentan,100.8,05.01.2022,24.0,10.0,10
160,Pentan,20.0,17.12.2021,34.0,5.0,1
161,Pentan,20.0,17.12.2021,34.0,5.0,2
162,Pentan,20.0,17.12.2021,34.0,5.0,3
163,Pentan,20.0,17.12.2021,34.0,5.0,4
164,Pentan,20.0,17.12.2021,34.0,5.0,5
165,Pentan,20.0,17.12.2021,34.0,5.0,6
166,Pentan,20.0,17.12.2021,34.0,5.0,7
167,Pentan,20.0,17.12.2021,34.0,5.0,8
168,Pentan,20.0,17.12.2021,34.0,5.0,9
169,Pentan,20.0,17.12.2021,34.0,5.0,10
170,Pentan,20.0,17.12.2021,34.0,10.0,1
171,Pentan,20.0,17.12.2021,34.0,10.0,2
172,Pentan,20.0,17.12.2021,34.0,10.0,3
173,Pentan,20.0,17.12.2021,34.0,10.0,4
174,Pentan,20.0,17.12.2021,34.0,10.0,5
175,Pentan,20.0,17.12.2021,34.0,10.0,6
176,Pentan,20.0,17.12.2021,34.0,10.0,7
177,Pentan,20.0,17.12.2021,34.0,10.0,8
178,Pentan,20.0,17.12.2021,34.0,10.0,9
179,Pentan,20.0,17.12.2021,34.0,10.0,10
180,Pentan,49.5,17.12.2021,34.0,5.0,1
181,Pentan,49.5,17.12.2021,34.0,5.0,2
182,Pentan,49.5,17.12.2021,34.0,5.0,3
183,Pentan,49.5,17.12.2021,34.0,5.0,4
184,Pentan,49.5,17.12.2021,34.0,5.0,5
185,Pentan,49.5,17.12.2021,34.0,5.0,6
186,Pentan,49.5,17.12.2021,34.0,5.0,7
187,Pentan,49.5,17.12.2021,34.0,5.0,8
188,Pentan,49.5,17.12.2021,34.0,5.0,9
189,Pentan,49.5,17.12.2021,34.0,5.0,10
190,Pentan,49.5,17.12.2021,34.0,10.0,1
191,Pentan,49.5,17.12.2021,34.0,10.0,2
192,Pentan,49.5,17.12.2021,34.0,10.0,3
193,Pentan,49.5,17.12.2021,34.0,10.0,4
194,Pentan,49.5,17.12.2021,34.0,10.0,5
195,Pentan,49.5,17.12.2021,34.0,10.0,6
196,Pentan,49.5,17.12.2021,34.0,10.0,7
197,Pentan,49.5,17.12.2021,34.0,10.0,8
198,Pentan,49.5,17.12.2021,34.0,10.0,9
199,Pentan,49.5,17.12.2021,34.0,10.0,10
200,Pentan,101.5,17.12.2021,34.0,5.0,1
201,Pentan,101.5,17.12.2021,34.0,5.0,2
202,Pentan,101.5,17.12.2021,34.0,5.0,3
203,Pentan,101.5,17.12.2021,34.0,5.0,4
204,Pentan,101.5,17.12.2021,34.0,5.0,5
205,Pentan,101.5,17.12.2021,34.0,5.0,6
